Smoothing Method,Training Unigram,Training Bigram,Validation Unigram,Validation Bigram
Un-smoothed,247.55057125002799,32.29509071773678,231.86077727545114,57.02984483256454
Laplace (k=1),247.75652625415904,196.69982420357786,232.4233020939776,204.96389763585861
Add-k (k=0.5),247.60531672269684,138.78916853651518,232.10437995410112,161.55801279313644
Add-k (k=0.1),247.55287969926633,69.58610266404538,231.9027569696718,108.37057740343162
Add-k (k=0.05),247.5505770975103,36.479045208539695,231.86279082452248,98.71689407165164
